ticker,listing_date_raw,listing_date,outstanding_shares,exchange,as_of_date
VCB,30/06/2009,6/30/2009,8355675094,HOSE,2025-12-31T00:00:00
BID,24/01/2014,1/24/2014,7280065210,HOSE,2025-12-31T00:00:00
CTG,16/07/2009,7/16/2009,7766944637,HOSE,2025-12-31T00:00:00
MBB,1/11/2011,11/1/2011,8054999909,HOSE,2025-12-31T00:00:00
TCB,4/6/2018,6/4/2018,7086240414,HOSE,2025-12-31T00:00:00
ACB,9/12/2020,12/9/2020,5136656599,HOSE,2025-12-31T00:00:00
VPB,17/08/2017,8/17/2017,7933923601,HOSE,2025-12-31T00:00:00
HDB,5/1/2018,1/5/2018,5005276323,HOSE,2025-12-31T00:00:00
TPB,19/04/2018,4/19/2018,2774046873,HOSE,2025-12-31T00:00:00
STB,12/7/2006,7/12/2006,1885215716,HOSE,2025-12-31T00:00:00
EIB,27/10/2009,10/27/2009,1862720607,HOSE,2025-12-31T00:00:00
SHB,11/10/2021,10/11/2021,4793703838,HOSE,2025-12-31T00:00:00
VIB,10/11/2020,11/10/2020,3404005710,HOSE,2024-12-31T00:00:00
MSB,23/12/2020,12/23/2020,3120000000,HOSE,2025-12-31T00:00:00
OCB,28/01/2021,1/28/2021,2663052284,HOSE,2025-12-31T00:00:00
LPB,9/11/2020,11/9/2020,2987282100,HOSE,
SSB,24/03/2021,3/24/2021,2845000000,HOSE,2025-12-31T00:00:00
BAB,3/3/2021,3/3/2021,1072140201,HNX,2025-12-31T00:00:00
NAB,8/3/2024,3/8/2024,1715686480,HOSE,2025-12-31T00:00:00
PGB,24/12/2020,12/24/2020,681587608,UPCoM,
KLB,15/01/2026,1/15/2026,578370526,HOSE,2025-12-31T00:00:00
VAB,22/07/2025,7/22/2025,816360672,HOSE,2025-12-31T00:00:00
BVB,9/7/2020,7/9/2020,640820000,UPCoM,2025-12-31T00:00:00
ABB,28/12/2020,12/28/2020,1397208685,UPCoM,2025-12-31T00:00:00
SGB,15/10/2020,10/15/2020,360819732,UPCoM,2025-12-31T00:00:00
NVB,13/09/2010,9/13/2010,1924632751,HNX,2025-12-31T00:00:00
